Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/06  02:00:00,16.05009528,0.850529701,7.056546771,0,7.030796182,0,0.185644331,0.185644331,0.185644331,0.089844728,0.019354937,0.072238755,0.37385121,0
 01/06  03:00:00,16.57654065,0.794998865,7.359692087,0,7.334240056,0,0.193459311,0.193459311,0.193459311,0.064174796,0.013824955,0.059715255,0.369516703,0
 01/06  04:00:00,17.29796597,0.796349861,7.711818977,0,7.686725215,0,0.202715282,0.202715282,0.202715282,0.064174796,0.013824955,0.052611026,0.364315295,0
 01/06  05:00:00,17.87294381,0.84451138,7.966494815,0,7.942348973,0,0.209294647,0.209294647,0.209294647,0.064174796,0.013824955,0.063151709,0.350553236,0
 01/06  06:00:00,18.65194166,1.099761584,8.194617026,0,8.167672208,0,0.21490679,0.21490679,0.21490679,0.064174796,0.013824955,0.075981488,0.391189237,0
 01/06  07:00:00,20.80680395,1.698839092,8.841274321,0,8.810142233,0,0.231803381,0.231803381,0.231803381,0.147602041,0.031797395,0.129758031,0.451980695,0
 01/06  08:00:00,20.3418974,2.092521527,8.289351554,0,8.256271377,0,0.216494952,0.216494952,0.216494952,0.301621517,0.064977292,0.207405929,0.480263352,0
 01/06  09:00:00,20.34288947,2.02296203,8.335685326,0,8.307717948,0,0.216933241,0.216933241,0.216933241,0.288786568,0.062212303,0.268690649,0.406034923,0
 01/06  10:00:00,19.82437052,1.770964949,8.286752768,0,8.262950267,0,0.216233684,0.216233684,0.216233684,0.147602041,0.031797395,0.330033496,0.345568553,0
 01/06  11:00:00,21.12409698,1.685960822,8.955567616,0,8.93120532,0,0.234863762,0.234863762,0.234863762,0.121932142,0.026267417,0.34487662,0.353695754,0
 01/06  12:00:00,18.95105199,1.589959921,7.94957404,0,7.92520428,0,0.207730115,0.207730115,0.207730115,0.121932142,0.026267417,0.361119726,0.353804116,0
 01/06  13:00:00,18.62563316,1.505007639,7.841630345,0,7.817671102,0,0.204478123,0.204478123,0.204478123,0.121932142,0.026267417,0.351845974,0.347844169,0
 01/06  14:00:00,18.53182521,1.444849773,7.834316133,0,7.809528392,0,0.205737048,0.205737048,0.205737048,0.121932142,0.026267417,0.317847783,0.359872426,0
 01/06  15:00:00,18.75490012,1.41174355,7.956823331,0,7.930639834,0,0.208971835,0.208971835,0.208971835,0.128349577,0.027649903,0.292642171,0.380136245,0
 01/06  16:00:00,19.33097889,1.492357998,8.162259552,0,8.134620587,0,0.214203598,0.214203598,0.214203598,0.160436991,0.034562383,0.302863616,0.401266965,0
 01/06  17:00:00,20.33335314,1.801690715,8.375104883,0,8.342412832,0,0.219398854,0.219398854,0.219398854,0.269534103,0.058064812,0.353720743,0.474628493,0
 01/06  18:00:00,24.87001534,2.421458559,10.03333908,0,9.99362346,0,0.263842847,0.263842847,0.263842847,0.500563357,0.107834641,0.445069937,0.576597765,0
 01/06  19:00:00,22.45948818,2.802554072,8.551686499,0,8.508567325,0,0.222529467,0.222529467,0.222529467,0.744427561,0.160369476,0.398283704,0.626011142,0
 01/06  20:00:00,22.23520714,2.775953458,8.463008495,0,8.418501029,0,0.21894493,0.21894493,0.21894493,0.789349925,0.170046944,0.315345897,0.646166599,0
 01/06  21:00:00,22.06817856,2.573366084,8.552468399,0,8.506430825,0,0.221620016,0.221620016,0.221620016,0.680252812,0.146544516,0.275874928,0.668380946,0
 01/06  22:00:00,22.2752785,2.347730477,8.839808643,0,8.794845876,0,0.229192233,0.229192233,0.229192233,0.5711557,0.123042104,0.258342283,0.652776722,0
 01/06  23:00:00,22.18803737,1.936264673,9.142676292,0,9.10376678,0,0.237318626,0.237318626,0.237318626,0.429971094,0.092627195,0.205880856,0.564894597,0
 01/06  24:00:00,22.03782533,1.519304011,9.41661325,0,9.382801608,0,0.244501332,0.244501332,0.244501332,0.295204003,0.063594789,0.135920782,0.490882893,0
 01/07  01:00:00,22.14442661,1.11759321,9.802344099,0,9.774376721,0,0.254645121,0.254645121,0.254645121,0.154019476,0.033179897,0.092942925,0.406034923,0
 01/07  02:00:00,22.42669778,0.936889244,10.08482593,0,10.05907535,0,0.262223532,0.262223532,0.262223532,0.089844728,0.019354937,0.07618578,0.37385121,0
 01/07  03:00:00,22.77162311,0.876187602,10.30388115,0,10.27842912,0,0.267760764,0.267760764,0.267760764,0.064174796,0.013824955,0.062326493,0.369516703,0
 01/07  04:00:00,23.03272814,0.870743496,10.43867634,0,10.41358258,0,0.271144748,0.271144748,0.271144748,0.064174796,0.013824955,0.053976431,0.364315295,0
 01/07  05:00:00,22.96457946,0.916920247,10.3842762,0,10.36013036,0,0.2696256,0.2696256,0.2696256,0.064174796,0.013824955,0.065822864,0.350553236,0
 01/07  06:00:00,23.23706427,1.184861237,10.36180539,0,10.33486057,0,0.268756634,0.268756634,0.268756634,0.064174796,0.013824955,0.080078181,0.391189237,0
 01/07  07:00:00,23.66722251,1.803569564,10.16603785,0,10.13490576,0,0.263648553,0.263648553,0.263648553,0.147602041,0.031797395,0.140383543,0.451980695,0
 01/07  08:00:00,26.07437167,2.256733052,10.96187386,0,10.92879368,0,0.28384721,0.28384721,0.28384721,0.301621517,0.064977292,0.228567291,0.480263352,0
 01/07  09:00:00,24.48823211,2.184000489,10.23725432,0,10.20928695,0,0.266509536,0.266509536,0.266509536,0.288786568,0.062212303,0.30112795,0.406034923,0
 01/07  10:00:00,23.92833391,1.935514708,10.16387635,0,10.14007385,0,0.262945485,0.262945485,0.262945485,0.147602041,0.031797395,0.375064554,0.345568553,0
 01/07  11:00:00,27.70019551,1.877686051,12.00491701,0,11.98055471,0,0.313116526,0.313116526,0.313116526,0.121932142,0.026267417,0.395792849,0.353695754,0
