Month,Day,Hour,DateTime,EnergyProd,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,,
1,10,13,1109913,30.301754,1011,55,0,0,827.476,34.667,30301.754,29147.865,,,
1,10,14,1109914,26.100893,967,52,0,0,704.9,30.612,26100.893,25120.441,,,
1,10,15,1109915,19.158717,879,45,0,0,514.623,23.676,19158.717,18432.926,,,
1,10,16,1109916,9.761253,675,32,-2,0,271.077,11.887,9761.253,9316.751,,,
1,10,17,1109917,0,0,0,-4,0,0,-4,0,0,,,
1,10,18,1109918,0,0,0,-5,0,0,-5,0,0,,,
1,10,19,1109919,0,0,0,-6,0,0,-6,0,0,,,
1,10,20,1109920,0,0,0,-7,0,0,-7,0,0,,,
1,10,21,1109921,0,0,0,-8,0,0,-8,0,0,,,
1,10,22,1109922,0,0,0,-8,0,0,-8,0,0,,,
1,10,23,1109923,0,0,0,-9,0,0,-9,0,0,,,
1,11,0,111990,0,0,0,-9,0,0,-9,0,0,,,
1,11,1,111991,0,0,0,-9,0,0,-9,0,0,,,
1,11,2,111992,0,0,0,-9,0,0,-9,0,0,,,
1,11,3,111993,0,0,0,-9,0,0,-9,0,0,,,
1,11,4,111994,0,0,0,-9,0,0,-9,0,0,,,
1,11,5,111995,0,0,0,-9,0,0,-9,0,0,,,
1,11,6,111996,0,0,0,-8,0,0,-8,0,0,,,
1,11,7,111997,0,0,0,-6,0,0,-6,0,0,,,
1,11,8,111998,9.381833,595,35,-3,0,250.623,4.756,9381.833,8947.155,,,
1,11,9,111999,13.691172,440,94,0,0,347.908,14.179,13691.172,13137.914,,,
1,11,10,1119910,18.448061,447,145,2,0,474.68,21.509,18448.061,17746.09,,,
1,11,11,1119911,19.320969,361,199,4,0,502.734,25.322,19320.969,18589.68,,,
1,11,12,1119912,21.88818,434,197,5,0,579.116,29.019,21888.18,21067.014,,,
1,11,13,1119913,21.156531,448,181,4,0,557.594,27.912,21156.531,20361.535,,,
1,11,14,1119914,15.368468,296,170,3,0,394.194,21.31,15368.468,14764.908,,,
1,11,15,1119915,8.060431,118,122,1,0,198.469,10.911,8060.431,7659.04,,,
1,11,16,1119916,3.648535,80,54,0,0,89.538,3.275,3648.535,3347.833,,,
1,11,17,1119917,0,0,0,0,0,0,0,0,0,,,
