Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,
 01/04  09:00:00,7.233508878,1.131819009,2.789696974,0,2.672153311,0,0.046368398,0.046368398,0.046368398,0.110631919,0.019876147,0.058654261,0.311572063,0.57418622,
 01/04  10:00:00,6.810323274,0.947819502,2.72604599,0,2.60723471,0,0.045241902,0.045241902,0.045241902,0.05654521,0.010158921,0.061620214,0.265173021,0.498550234,
 01/04  11:00:00,6.249917469,0.858529,2.495107838,0,2.387707439,0,0.041432567,0.041432567,0.041432567,0.046711238,0.008392148,0.057762654,0.271409451,0.422290942,
 01/04  12:00:00,5.006724846,0.784282184,1.933317446,0,1.811122602,0,0.031427409,0.031427409,0.031427409,0.046711238,0.008392148,0.057124397,0.271492604,0.358604389,
 01/04  13:00:00,3.910080029,0.722799252,1.437800458,0,1.301131093,0,0.022577808,0.022577808,0.022577808,0.046711238,0.008392148,0.058593194,0.266919222,0.309075643,
 01/04  14:00:00,4.39250037,0.704738192,1.667041073,0,1.551931129,0,0.026929803,0.026929803,0.026929803,0.046711238,0.008392148,0.056748042,0.276149139,0.279277823,
 01/04  15:00:00,3.800799449,0.688884642,1.377079663,0,1.265335924,0,0.021956674,0.021956674,0.021956674,0.049169738,0.008833842,0.05392698,0.291698638,0.252768768,
 01/04  16:00:00,4.331050647,0.732302193,1.612367603,0,1.472881752,0,0.025558102,0.025558102,0.025558102,0.06146218,0.011042304,0.056406952,0.307913357,0.259389297,
 01/04  17:00:00,4.869697977,0.886831927,1.783397027,0,1.566078925,0,0.027175301,0.027175301,0.027175301,0.103256447,0.018551069,0.065849143,0.364207536,0.297262431,
 01/04  18:00:00,7.595089564,1.186646591,2.93305082,0,2.589055752,0,0.044926452,0.044926452,0.044926452,0.191761982,0.034451986,0.082889127,0.44245395,0.379633094,
 01/04  19:00:00,5.769284468,1.416361798,1.824585378,0,1.547494337,0,0.026852813,0.026852813,0.026852813,0.285184488,0.051236287,0.083492295,0.480371446,0.448694468,
