Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,
 01/05  07:00:00,26.75260401,2.167070984,11.30200873,0,11.26355782,0,0.335501833,0.335501833,0.335501833,0.23737031,0.05365521,0.165077845,0.557357611,0.795338175,
 01/05  08:00:00,29.47145913,2.775776355,12.1074763,0,12.06661932,0,0.35941678,0.35941678,0.35941678,0.485061124,0.109643267,0.256398204,0.59223422,0.91275276,
 01/05  09:00:00,26.73671129,2.62624672,10.88838184,0,10.85383962,0,0.323312825,0.323312825,0.323312825,0.464420241,0.1049776,0.328206966,0.500699825,0.881859262,
 01/05  10:00:00,26.2816373,2.254198557,10.98054217,0,10.95114396,0,0.326203247,0.326203247,0.326203247,0.23737031,0.05365521,0.399981311,0.42613604,0.78808244,
 01/05  11:00:00,27.15223683,2.133761163,11.4666409,0,11.43655129,0,0.340644108,0.340644108,0.340644108,0.19608855,0.044323876,0.416780676,0.436158054,0.676995899,
 01/05  12:00:00,24.70869599,2.020151594,10.34237995,0,10.31228112,0,0.307148025,0.307148025,0.307148025,0.19608855,0.044323876,0.435735142,0.436291681,0.577794319,
 01/05  13:00:00,23.50344796,1.909994316,9.826365358,0,9.796773549,0,0.29177436,0.29177436,0.29177436,0.19608855,0.044323876,0.425637022,0.428942204,0.500458304,
 01/05  14:00:00,23.02408986,1.833818973,9.645831179,0,9.615216102,0,0.286356731,0.286356731,0.286356731,0.19608855,0.044323876,0.385966199,0.443774785,0.454538831,
 01/05  15:00:00,22.6496506,1.791338047,9.48401317,0,9.451674209,0,0.281480277,0.281480277,0.281480277,0.206409052,0.046656695,0.356355589,0.468763007,0.408903427,
 01/05  16:00:00,23.05003951,1.901331127,9.575384671,0,9.541248076,0,0.28414413,0.28414413,0.28414413,0.25801119,0.058320876,0.368490937,0.494820243,0.414773751,
 01/05  17:00:00,23.63031776,2.31916607,9.481333597,0,9.440955989,0,0.28115589,0.28115589,0.28115589,0.43345886,0.097979086,0.428670867,0.585285624,0.469845743,
 01/05  18:00:00,26.6293955,3.147332285,10.19489335,0,10.14584101,0,0.30217405,0.30217405,0.30217405,0.804995078,0.181961143,0.536821988,0.711028494,0.587581533,
 01/05  19:00:00,25.86704536,3.747257797,9.311602188,0,9.258346151,0,0.275787707,0.275787707,0.275787707,1.197172179,0.270608895,0.482732692,0.77196234,0.696223983,
 01/05  20:00:00,25.93762956,3.751693558,9.336410085,0,9.281439382,0,0.276497102,0.276497102,0.276497102,1.269415322,0.286938743,0.385424228,0.796816935,0.713831228,
 01/05  21:00:00,25.83763461,3.458912795,9.541775308,0,9.484914786,0,0.282575738,0.282575738,0.282575738,1.093967652,0.247280533,0.338845877,0.82421044,0.649262555,
 01/05  22:00:00,25.54749371,3.129411544,9.682008574,0,9.626475535,0,0.286804716,0.286804716,0.286804716,0.918519984,0.207622353,0.318073398,0.804968173,0.57065292,
 01/05  23:00:00,26.11709079,2.577880033,10.42943135,0,10.38137462,0,0.309297322,0.309297322,0.309297322,0.691470175,0.156299962,0.256145886,0.696596794,0.445299894,
 01/05  24:00:00,25.81182168,2.012805013,10.76091791,0,10.71915751,0,0.319355365,0.319355365,0.319355365,0.474740745,0.107310419,0.173494336,0.605329652,0.309804495,
 01/06  01:00:00,25.49996985,1.438150951,11.09418327,0,11.05964106,0,0.329482674,0.329482674,0.329482674,0.247690814,0.055988057,0.115167851,0.500699825,0.16635173,
 01/06  02:00:00,25.66350781,1.198018873,11.37360238,0,11.3417981,0,0.337853001,0.337853001,0.337853001,0.144486287,0.032659695,0.098370824,0.461012649,0.100866416,
 01/06  03:00:00,26.41397593,1.122119748,11.80287114,0,11.7714356,0,0.350632956,0.350632956,0.350632956,0.103204501,0.023328353,0.083450145,0.455667575,0.083066218,
 01/06  04:00:00,27.95470252,1.134128787,12.54159262,0,12.51059958,0,0.372614187,0.372614187,0.372614187,0.103204501,0.023328353,0.074752636,0.449253486,0.088205624,
 01/06  05:00:00,28.85662123,1.193601391,12.94652543,0,12.91670316,0,0.384709921,0.384709921,0.384709921,0.103204501,0.023328353,0.086845757,0.432282875,0.140459984,
 01/06  06:00:00,30.27694732,1.502412334,13.44915747,0,13.41587821,0,0.399585863,0.399585863,0.399585863,0.103204501,0.023328353,0.101815918,0.482392946,0.369314753,
 01/06  07:00:00,33.13112412,2.257866964,14.31142633,0,14.27297542,0,0.425131475,0.425131475,0.425131475,0.23737031,0.05365521,0.165077845,0.557357611,0.796504514,
 01/06  08:00:00,32.63622777,2.821599866,13.60019754,0,13.55934056,0,0.403917662,0.403917662,0.403917662,0.485061124,0.109643267,0.256398204,0.59223422,0.914075389,
 01/06  09:00:00,32.74126409,2.712053161,13.72110457,0,13.68656235,0,0.40774646,0.40774646,0.40774646,0.464420241,0.1049776,0.328206966,0.500699825,0.883232068,
 01/06  10:00:00,31.86229744,2.333861956,13.61328724,0,13.58388903,0,0.404705449,0.404705449,0.404705449,0.23737031,0.05365521,0.399981311,0.42613604,0.789243637,
 01/06  11:00:00,30.21375262,2.177865682,12.91069586,0,12.88060624,0,0.383744559,0.383744559,0.383744559,0.19608855,0.044323876,0.416780676,0.436158054,0.677999966,
 01/06  12:00:00,29.4879431,2.088196371,12.59709533,0,12.56699649,0,0.374405219,0.374405219,0.374405219,0.19608855,0.044323876,0.435735142,0.436291681,0.578581902,
 01/06  13:00:00,29.41611378,1.993785456,12.61597889,0,12.58638708,0,0.374990234,0.374990234,0.374990234,0.19608855,0.044323876,0.425637022,0.428942204,0.501033571,
 01/06  14:00:00,30.05777126,1.933280972,12.96444139,0,12.93382631,0,0.385356391,0.385356391,0.385356391,0.19608855,0.044323876,0.385966199,0.443774785,0.45500117,
 01/06  15:00:00,30.86252662,1.907288296,13.35907674,0,13.32673778,0,0.39707982,0.39707982,0.39707982,0.206409052,0.046656695,0.356355589,0.468763007,0.409254134,
 01/06  16:00:00,31.82930079,2.025220142,13.71768547,0,13.68354887,0,0.407734354,0.407734354,0.407734354,0.25801119,0.058320876,0.368490937,0.494820243,0.415072541,
 01/06  17:00:00,33.77270436,2.462361699,14.26667648,0,14.22629887,0,0.423990958,0.423990958,0.423990958,0.43345886,0.097979086,0.428670867,0.585285624,0.470206304,
 01/06  18:00:00,36.80513527,3.291252785,14.99576119,0,14.94670885,0,0.445535246,0.445535246,0.445535246,0.804995078,0.181961143,0.536821988,0.711028494,0.588140836,
 01/06  19:00:00,36.07251015,3.891797342,14.12640936,0,14.07315332,0,0.419558006,0.419558006,0.419558006,1.197172179,0.270608895,0.482732692,0.77196234,0.69699323,
 01/06  20:00:00,37.45076263,3.914627519,14.7681946,0,14.7132239,0,0.438707127,0.438707127,0.438707127,1.269415322,0.286938743,0.385424228,0.796816935,0.714555164,
 01/06  21:00:00,37.19158211,3.61956372,14.89840003,0,14.84153951,0,0.442591448,0.442591448,0.442591448,1.093967652,0.247280533,0.338845877,0.82421044,0.64989777,
 01/06  22:00:00,37.52757008,3.298754912,15.33409095,0,15.27855791,0,0.4556608,0.4556608,0.4556608,0.918519984,0.207622353,0.318073398,0.804968173,0.571140204,
 01/06  23:00:00,37.08774596,2.732838387,15.60520137,0,15.55714465,0,0.464016246,0.464016246,0.464016246,0.691470175,0.156299962,0.256145886,0.696596794,0.445539324,
 01/06  24:00:00,36.24360892,2.159974092,15.6824659,0,15.64070549,0,0.466529428,0.466529428,0.466529428,0.474740745,0.107310419,0.173494336,0.605329652,0.309799512,
 01/07  01:00:00,36.11232074,1.607532822,16.08778421,0,16.05324199,0,0.478848626,0.478848626,0.478848626,0.247690814,0.055988057,0.122837148,0.500699825,0.178698352,
 01/07  02:00:00,36.29168263,1.35874913,16.38031909,0,16.3485148,0,0.487655097,0.487655097,0.487655097,0.144486287,0.032659695,0.102975686,0.461012649,0.107189716,
